iter	MultiClass
0	1.273681563
1	1.19174908
2	1.12398352
3	1.067575655
4	1.021528453
5	0.9799423376
6	0.9419599884
7	0.9105966285
8	0.8817764488
9	0.8567818094
10	0.8369410703
11	0.8178323699
12	0.8010515049
13	0.7848055941
14	0.7709093991
15	0.7604484311
16	0.7479322574
17	0.7390693149
18	0.7295823099
19	0.7221403782
20	0.7128524963
21	0.7047548331
22	0.6997375944
23	0.6949615005
24	0.6897146003
25	0.6822122563
26	0.6793497562
27	0.6747689526
28	0.6711682883
29	0.6683003404
30	0.6627373805
31	0.6584170252
32	0.6554930411
33	0.6531365911
34	0.6500483853
35	0.6477242811
36	0.6448710494
37	0.6433654234
38	0.6412785521
39	0.6393570309
40	0.6371173255
41	0.6341016254
42	0.6319668437
43	0.6305542014
44	0.6290495969
45	0.6272047894
46	0.6260709523
47	0.6246959068
48	0.6238103294
49	0.6226885703
50	0.6214829399
51	0.6200986567
52	0.6172370316
53	0.6141412032
54	0.6133570546
55	0.6124737903
56	0.6108392598
57	0.6090873555
58	0.6082371433
59	0.6075698739
60	0.6050416963
61	0.6042643247
62	0.6040030963
63	0.6032907988
64	0.6028311075
65	0.6016666277
66	0.6002228806
67	0.5989311984
68	0.5974687683
69	0.5970684435
70	0.5967477359
71	0.595789117
72	0.5955567762
73	0.5942338048
74	0.5938480993
75	0.593240552
76	0.592793966
77	0.5924177458
78	0.592015694
79	0.5916269852
80	0.5908264736
81	0.590644292
82	0.5902244336
83	0.5898776819
84	0.5883916015
85	0.5878403267
86	0.5873789757
87	0.5860702295
88	0.5856699499
89	0.5848081776
90	0.5843745395
91	0.5837681546
92	0.5834126374
93	0.5826103726
94	0.5813507507
95	0.5810305849
96	0.5806074146
97	0.579804637
98	0.5795771967
99	0.5792111184
100	0.5787574437
101	0.5785048396
102	0.5774992413
103	0.5770531831
104	0.5767133082
105	0.5757218677
106	0.5750667146
107	0.5745547171
108	0.5737431277
109	0.5732451706
110	0.5727302525
111	0.5723458236
112	0.5718070499
113	0.5700322765
114	0.5696275482
115	0.5693380367
116	0.5688103501
117	0.5674556126
118	0.567282978
119	0.5662245105
120	0.5654588377
121	0.5645746927
122	0.5641424411
123	0.563888832
124	0.5628905719
125	0.5627415677
126	0.5625376479
127	0.5620094439
128	0.5617155673
129	0.5612192491
130	0.5606112632
131	0.5602761598
132	0.5598350093
133	0.5594724931
134	0.558158502
135	0.5576864476
136	0.5572777564
137	0.5570015955
138	0.5567111642
139	0.5555476443
140	0.5547603535
141	0.5542857439
142	0.5539078603
143	0.5534998984
144	0.5525539567
145	0.551845101
146	0.5513969703
147	0.5510489341
148	0.5502889742
149	0.5498490198
150	0.5494879484
151	0.5491971467
152	0.5485299844
153	0.5476953157
154	0.5474345272
155	0.546985222
156	0.5467055939
157	0.5464154814
158	0.5461374464
159	0.5456707691
160	0.5447861001
161	0.5443110971
162	0.5441473668
163	0.543992226
164	0.5436893311
165	0.5431788255
166	0.5422618318
167	0.541877416
168	0.5415970586
169	0.5414143243
170	0.5409477384
171	0.5406705856
172	0.5403726772
173	0.5400387359
174	0.5398506858
175	0.5396528241
176	0.5393975504
177	0.5391739459
178	0.5388516565
179	0.5384955932
180	0.5382763923
181	0.5380036008
182	0.5375962321
183	0.5374448165
184	0.5371832911
185	0.5369897974
186	0.5368243784
187	0.5365371458
188	0.5359581023
189	0.5356056962
190	0.535144871
191	0.5349667724
192	0.5347110188
193	0.5343472185
194	0.5341166399
195	0.5338315897
196	0.5334952822
197	0.5332013705
198	0.5328410081
199	0.5325859148
200	0.5323422832
201	0.5321500634
202	0.5318056115
203	0.5315921353
204	0.5312869519
205	0.5310255327
206	0.5309362484
207	0.530641336
208	0.5304838905
209	0.5303185561
210	0.5300706817
211	0.5295690688
212	0.5294697317
213	0.529069137
214	0.5288457448
215	0.5285463375
216	0.5282519227
217	0.5280266938
218	0.5276997332
219	0.5275552608
220	0.5272337002
221	0.5270615422
222	0.5268049473
223	0.5266513977
224	0.5264925133
225	0.5262071129
226	0.5259316229
227	0.5255899818
228	0.5252978965
229	0.5251407884
230	0.5248458784
231	0.5247562951
232	0.5245630942
233	0.5243835876
234	0.5239994538
235	0.5239236938
236	0.5236455689
237	0.5232021958
238	0.5230134964
239	0.5228869555
240	0.522679643
241	0.5222798042
242	0.5221029184
243	0.5217868321
244	0.5215736071
245	0.5213261479
246	0.5211325019
247	0.5209156493
248	0.5207597586
249	0.5205339516
