iter	Passed	Remaining
0	174	43359
1	195	24271
2	209	17221
3	218	13460
4	229	11251
5	240	9777
6	250	8705
7	261	7907
8	272	7284
9	281	6764
10	291	6329
11	301	5974
12	311	5673
13	321	5426
14	332	5201
15	341	4988
16	351	4814
17	360	4644
18	370	4504
19	379	4364
20	389	4242
21	398	4134
22	408	4034
23	417	3935
24	426	3839
25	436	3762
26	444	3670
27	453	3595
28	463	3528
29	472	3462
30	482	3405
31	491	3345
32	500	3292
33	509	3237
34	519	3192
35	529	3147
36	540	3109
37	548	3061
38	557	3017
39	567	2977
40	575	2934
41	586	2905
42	596	2873
43	606	2839
44	615	2803
45	624	2770
46	634	2740
47	645	2717
48	654	2686
49	665	2661
50	674	2632
51	686	2612
52	697	2593
53	708	2571
54	717	2543
55	726	2516
56	735	2490
57	745	2468
58	755	2447
59	765	2425
60	777	2408
61	787	2387
62	798	2368
63	810	2354
64	819	2331
65	829	2312
66	839	2292
67	849	2273
68	860	2256
69	870	2237
70	880	2219
71	890	2201
72	899	2181
73	910	2164
74	920	2146
75	928	2126
76	938	2107
77	947	2089
78	956	2070
79	964	2049
80	974	2032
81	983	2014
82	992	1997
83	1001	1978
84	1012	1965
85	1021	1948
86	1033	1935
87	1044	1923
88	1056	1910
89	1066	1896
90	1077	1882
91	1089	1870
92	1100	1857
93	1111	1845
94	1124	1834
95	1134	1819
96	1144	1805
97	1156	1793
98	1165	1778
99	1177	1765
100	1187	1752
101	1197	1737
102	1208	1724
103	1218	1710
104	1229	1697
105	1240	1685
106	1250	1670
107	1261	1658
108	1273	1647
109	1282	1632
110	1293	1619
111	1303	1606
112	1312	1591
113	1323	1579
114	1333	1565
115	1343	1551
116	1353	1538
117	1364	1526
118	1374	1513
119	1384	1499
120	1393	1485
121	1404	1473
122	1414	1460
123	1423	1446
124	1432	1432
125	1441	1418
126	1450	1404
127	1459	1391
128	1468	1377
129	1478	1364
130	1490	1353
131	1498	1339
132	1507	1325
133	1516	1312
134	1526	1300
135	1536	1287
136	1545	1274
137	1555	1262
138	1564	1249
139	1574	1237
140	1586	1226
141	1597	1215
142	1608	1203
143	1618	1191
144	1629	1180
145	1640	1168
146	1651	1157
147	1660	1144
148	1671	1133
149	1682	1121
150	1692	1109
151	1701	1097
152	1711	1085
153	1721	1073
154	1731	1061
155	1741	1049
156	1751	1037
157	1760	1025
158	1769	1012
159	1779	1001
160	1790	989
161	1800	977
162	1810	966
163	1820	954
164	1828	941
165	1836	929
166	1847	918
167	1857	906
168	1866	894
169	1875	882
170	1885	871
171	1896	859
172	1906	848
173	1915	836
174	1924	824
175	1932	812
176	1942	801
177	1952	789
178	1963	778
179	1971	766
180	1981	755
181	1989	743
182	1998	731
183	2007	719
184	2015	708
185	2024	696
186	2034	685
187	2044	674
188	2054	663
189	2064	651
190	2073	640
191	2082	629
192	2093	618
193	2102	606
194	2111	595
195	2122	584
196	2132	573
197	2142	562
198	2151	551
199	2161	540
200	2169	528
201	2179	517
202	2189	506
203	2198	495
204	2207	484
205	2216	473
206	2225	462
207	2234	451
208	2244	440
209	2253	429
210	2262	418
211	2272	407
212	2281	396
213	2292	385
214	2302	374
215	2312	363
216	2321	353
217	2330	342
218	2341	331
219	2350	320
220	2361	309
221	2371	299
222	2380	288
223	2389	277
224	2399	266
225	2409	255
226	2419	245
227	2429	234
228	2440	223
229	2449	212
230	2458	202
231	2466	191
232	2477	180
233	2486	169
234	2496	159
235	2505	148
236	2515	138
237	2526	127
238	2535	116
239	2545	106
240	2554	95
241	2564	84
242	2575	74
243	2585	63
244	2594	52
245	2604	42
246	2615	31
247	2624	21
248	2633	10
249	2643	0
